truck_id,total_downtime_hours,total_miles,downtime_per_mile
TRK00083,247.9,1285053.0,0.000192910331324856
TRK00070,307.7,1319519.0,0.000233191034005573
TRK00107,341.2,1389705.0,0.000245519732605121
TRK00019,337.1,1340729.0,0.00025143037854779
TRK00049,339.8,1268102.0,0.000267959517452066
TRK00036,323.9,1205829.0,0.000268611884438009
TRK00069,366.7,1318110.0,0.000278201364074319
TRK00084,372.0,1333901.0,0.000278881266300872
TRK00116,366.2,1310738.0,0.000279384590970888
TRK00076,388.9,1280075.0,0.000303810323613851
