truck_id,risk_score
TRK00044,0.9775
TRK00073,0.9572
TRK00014,0.9045
TRK00033,0.8395
TRK00013,0.8036
TRK00062,0.7757
TRK00026,0.7528
TRK00038,0.7457
TRK00099,0.7222
TRK00078,0.7101
TRK00071,0.6969
TRK00052,0.6903
TRK00108,0.6769
TRK00105,0.6743
TRK00085,0.6737
TRK00103,0.6618
TRK00115,0.6588
TRK00067,0.6283
TRK00040,0.6224
TRK00072,0.6071
TRK00120,0.5973
TRK00106,0.594
TRK00020,0.5914
TRK00054,0.5887
TRK00050,0.5878
TRK00055,0.5798
TRK00030,0.5796
TRK00063,0.573
TRK00002,0.5717
TRK00001,0.5597
TRK00018,0.5515
TRK00112,0.5291
TRK00111,0.5276
TRK00060,0.5253
TRK00057,0.5251
TRK00068,0.5184
TRK00024,0.5168
TRK00053,0.5084
TRK00011,0.508
TRK00091,0.5071
TRK00065,0.4978
TRK00110,0.4967
TRK00010,0.4929
TRK00006,0.4876
TRK00090,0.4867
TRK00023,0.4861
TRK00082,0.4568
TRK00031,0.4552
TRK00045,0.4492
TRK00051,0.4481
TRK00079,0.4421
TRK00093,0.4396
TRK00089,0.4316
TRK00041,0.4228
TRK00039,0.421
TRK00025,0.4158
TRK00061,0.4121
TRK00048,0.4079
TRK00029,0.4026
TRK00096,0.3953
TRK00064,0.3804
TRK00080,0.3714
TRK00015,0.3685
TRK00009,0.3531
TRK00035,0.3432
TRK00004,0.3374
TRK00095,0.3262
TRK00043,0.3243
TRK00113,0.3174
TRK00092,0.3147
TRK00008,0.3063
TRK00012,0.3015
TRK00098,0.2976
TRK00114,0.2956
TRK00059,0.2912
TRK00086,0.2887
TRK00058,0.2853
TRK00074,0.2655
TRK00016,0.2598
TRK00097,0.2559
TRK00101,0.243
TRK00007,0.2337
TRK00116,0.2152
TRK00076,0.2098
TRK00069,0.2039
TRK00084,0.1982
TRK00049,0.1705
TRK00107,0.1574
TRK00019,0.1476
TRK00036,0.1392
TRK00070,0.1366
TRK00083,0.0
