truck_id,risk_score,downtime_per_mile,risk_tier,recommended_action
TRK00044,0.9775,0.000769558422761379,Critical,"Inspect now; prioritize corrective maintenance; review replacement planning."
TRK00073,0.9572,0.000744305647175366,Critical,"Inspect now; prioritize corrective maintenance; review replacement planning."
TRK00014,0.9045,0.000758204883020048,Critical,"Inspect now; prioritize corrective maintenance; review replacement planning."
TRK00033,0.8395,0.000712633991589946,High,"Schedule maintenance next cycle; monitor weekly; investigate repeat issues."
TRK00013,0.8036,0.000690102883732165,High,"Schedule maintenance next cycle; monitor weekly; investigate repeat issues."
TRK00062,0.7757,0.000676822006253989,High,"Schedule maintenance next cycle; monitor weekly; investigate repeat issues."
TRK00026,0.7528,0.000629029232015903,High,"Schedule maintenance next cycle; monitor weekly; investigate repeat issues."
TRK00038,0.7457,0.000630863849378483,High,"Schedule maintenance next cycle; monitor weekly; investigate repeat issues."
TRK00099,0.7222,0.000575704748693304,High,"Schedule maintenance next cycle; monitor weekly; investigate repeat issues."
TRK00078,0.7101,0.000647707066070595,High,"Schedule maintenance next cycle; monitor weekly; investigate repeat issues."
TRK00071,0.6969,0.000599952098374811,Medium,"Routine preventive maintenance; monitor monthly."
TRK00052,0.6903,0.000594066426182432,Medium,"Routine preventive maintenance; monitor monthly."
TRK00108,0.6769,0.000625506457647635,Medium,"Routine preventive maintenance; monitor monthly."
TRK00105,0.6743,0.000619784175428611,Medium,"Routine preventive maintenance; monitor monthly."
TRK00085,0.6737,0.00060671310567789,Medium,"Routine preventive maintenance; monitor monthly."
TRK00103,0.6618,0.000597867137791092,Medium,"Routine preventive maintenance; monitor monthly."
TRK00115,0.6588,0.000572537581399649,Medium,"Routine preventive maintenance; monitor monthly."
TRK00067,0.6283,0.000577171554645408,Medium,"Routine preventive maintenance; monitor monthly."
TRK00040,0.6224,0.000564354293326771,Medium,"Routine preventive maintenance; monitor monthly."
TRK00072,0.6071,0.000545571070249089,Medium,"Routine preventive maintenance; monitor monthly."
TRK00120,0.5973,0.000559490220184257,Medium,"Routine preventive maintenance; monitor monthly."
TRK00106,0.594,0.00052363449046588,Medium,"Routine preventive maintenance; monitor monthly."
TRK00020,0.5914,0.000524821366821233,Medium,"Routine preventive maintenance; monitor monthly."
TRK00054,0.5887,0.000511916674930658,Medium,"Routine preventive maintenance; monitor monthly."
TRK00050,0.5878,0.000513612562707859,Medium,"Routine preventive maintenance; monitor monthly."
TRK00055,0.5798,0.000486409458706341,Medium,"Routine preventive maintenance; monitor monthly."
TRK00030,0.5796,0.000524136909651756,Medium,"Routine preventive maintenance; monitor monthly."
TRK00063,0.573,0.000548892778822565,Medium,"Routine preventive maintenance; monitor monthly."
TRK00002,0.5717,0.00052362243147181,Medium,"Routine preventive maintenance; monitor monthly."
