truck_id,make,model_year,acquisition_date,status,total_downtime_hours,total_maintenance_cost,maintenance_events,total_miles,trip_count,avg_mpg
TRK00001,Peterbilt,2016,2017-04-27,Active,713.2,51775.99,24,1356397.0,951,6.48659305993691
TRK00002,Kenworth,2015,2018-10-04,Active,665.3,54869.04,27,1270572.0,887,6.49927846674183
TRK00003,Peterbilt,2018,2020-09-17,Maintenance,1133.1,90161.42,41,,,
TRK00004,Freightliner,2015,2017-06-17,Active,483.2,38561.82,22,1309547.0,929,6.49949407965554
TRK00005,Freightliner,2016,2021-10-08,Maintenance,750.6,66088.45,33,,,
TRK00006,Kenworth,2017,2018-05-12,Active,587.7,50780.83,26,1278551.0,878,6.47931662870159
TRK00007,Volvo,2019,2020-01-29,Active,415.7,25868.97,20,1336736.0,922,6.489284164859
TRK00008,Mack,2015,2015-01-27,Active,483.0,33024.74,19,1296410.0,894,6.50457494407159
TRK00009,International,2015,2016-11-04,Active,522.3,40333.84,19,1310170.0,900,6.51253333333333
TRK00010,Volvo,2015,2017-12-11,Active,603.1,50406.72,25,1278138.0,905,6.51537016574586
TRK00011,Freightliner,2015,2021-01-06,Active,656.6,46464.63,23,1304183.0,927,6.52217907227616
TRK00012,Freightliner,2015,2017-02-08,Active,450.1,40327.38,21,1341215.0,920,6.53576086956522
TRK00013,Volvo,2018,2020-10-25,Active,868.5,57951.16,34,1258508.0,885,6.50648587570621
TRK00014,International,2015,2019-04-11,Active,940.4,71801.82,34,1240298.0,886,6.51918735891648
TRK00015,International,2015,2017-02-12,Active,562.5,33711.95,21,1386604.0,961,6.50366285119667
TRK00016,Freightliner,2015,2015-05-26,Active,437.1,36448.05,18,1349432.0,929,6.5140581270183
TRK00017,Mack,2017,2017-07-06,Maintenance,510.0,46265.84,20,,,
TRK00018,International,2015,2016-02-16,Active,664.5,42430.74,25,1194175.0,859,6.51766006984866
TRK00019,International,2015,2021-02-13,Active,337.1,28662.15,16,1340729.0,922,6.49477223427332
TRK00020,Kenworth,2015,2017-07-25,Active,711.8,56990.95,27,1356271.0,945,6.48631746031746
TRK00021,Mack,2018,2018-07-11,Inactive,641.1,38803.04,21,,,
TRK00022,Kenworth,2017,2018-03-13,Inactive,592.1,48894.75,26,,,
TRK00023,Peterbilt,2015,2019-07-09,Active,600.7,49365.87,26,1315533.0,904,6.50886061946903
TRK00024,Volvo,2015,2018-04-08,Active,705.5,42592.23,22,1362333.0,941,6.49556854410202
TRK00025,Freightliner,2018,2020-02-13,Active,570.1,44082.12,23,1370297.0,963,6.48973001038422
TRK00026,International,2021,2021-02-23,Active,787.9,70708.48,32,1252565.0,895,6.47258100558659
TRK00027,Peterbilt,2015,2016-04-12,Maintenance,599.3,44230.56,24,,,
TRK00028,Kenworth,2015,2020-09-21,Maintenance,439.1,43892.35,19,,,
TRK00029,International,2016,2016-01-20,Active,540.1,39776.71,23,1272712.0,877,6.49671607753706
TRK00030,Volvo,2015,2016-04-14,Active,679.5,53327.96,28,1296417.0,894,6.48609619686801
TRK00031,Kenworth,2018,2019-10-30,Active,579.5,51097.4,24,1331252.0,941,6.48588735387885
TRK00032,Mack,2015,2018-01-31,Maintenance,814.3,68762.34,31,,,
TRK00033,Mack,2015,2018-01-24,Active,908.2,67514.43,32,1274427.0,908,6.50419603524229
TRK00034,Freightliner,2015,2020-05-07,Maintenance,710.8,52843.72,31,,,
TRK00035,International,2015,2019-05-10,Active,516.8,40952.3,19,1343802.0,932,6.49795064377682
TRK00036,Peterbilt,2020,2020-11-06,Active,323.9,27522.41,14,1205829.0,867,6.51847750865052
TRK00037,Freightliner,2018,2020-05-12,Maintenance,582.6,41154.92,21,,,
TRK00038,International,2015,2019-02-18,Active,796.4,68989.14,31,1262396.0,908,6.50452643171806
TRK00039,International,2015,2019-10-16,Active,557.0,47581.13,24,1366732.0,966,6.51399585921325
TRK00040,International,2015,2020-01-22,Active,665.1,67557.74,26,1178515.0,860,6.5076976744186
TRK00041,International,2015,2015-04-01,Active,524.7,59685.24,25,1404001.0,965,6.50446632124352
TRK00042,International,2019,2020-04-15,Maintenance,496.4,48687.47,23,,,
TRK00043,Freightliner,2019,2021-02-27,Active,488.6,40867.47,19,1321161.0,919,6.51620239390642
TRK00044,Volvo,2015,2020-01-07,Active,1080.4,69825.23,38,1403922.0,971,6.49964984552008
TRK00045,Volvo,2015,2016-06-18,Active,571.2,45247.09,23,1242378.0,854,6.49192037470726
TRK00046,Freightliner,2015,2016-10-19,Inactive,974.5,57517.48,29,,,
TRK00047,Mack,2015,2015-09-06,Maintenance,397.2,28243.39,16,,,
TRK00048,Volvo,2015,2015-07-04,Active,583.2,43187.16,20,1350738.0,946,6.48983086680761
TRK00049,Peterbilt,2015,2016-12-20,Active,339.8,33245.43,16,1268102.0,912,6.51754385964912
TRK00050,Peterbilt,2015,2015-09-03,Active,687.7,55990.68,29,1338947.0,956,6.48851464435146
TRK00051,Mack,2016,2018-05-19,Active,577.3,49991.87,23,1312973.0,912,6.52989035087719
TRK00052,Freightliner,2015,2018-06-17,Active,737.3,63757.21,31,1241107.0,891,6.51902356902357
TRK00053,Peterbilt,2015,2020-04-23,Active,635.0,50297.23,27,1378108.0,964,6.47557053941909
TRK00054,Freightliner,2016,2017-01-26,Active,681.4,54702.23,30,1331076.0,897,6.49876254180602
TRK00055,Peterbilt,2017,2021-03-28,Active,689.5,60433.32,29,1417530.0,977,6.47301944728762
TRK00056,Kenworth,2015,2016-09-29,Inactive,536.3,39387.64,20,,,
TRK00057,Mack,2015,2017-01-16,Active,651.2,57753.94,25,1377066.0,951,6.54350157728707
TRK00058,Mack,2015,2018-08-10,Active,414.9,45745.44,20,1299089.0,898,6.47419821826281
TRK00059,Mack,2015,2018-12-03,Active,450.0,34580.8,18,1216720.0,860,6.55943023255814
TRK00060,Freightliner,2015,2015-05-16,Active,641.4,39199.82,26,1211398.0,846,6.49465721040189
TRK00061,International,2018,2021-05-16,Active,530.4,43993.58,24,1268152.0,904,6.50922566371681
TRK00062,Mack,2017,2018-01-21,Active,862.1,59646.64,31,1273747.0,909,6.50531353135313
TRK00063,Peterbilt,2015,2016-04-24,Active,674.8,46669.04,27,1229384.0,869,6.48895281933257
TRK00064,Kenworth,2020,2021-03-04,Active,510.2,46296.36,22,1296870.0,918,6.52460784313725
TRK00065,Freightliner,2015,2018-07-10,Active,589.8,57516.6,26,1307946.0,924,6.48687229437229
TRK00066,Peterbilt,2015,2016-10-28,Maintenance,660.3,33670.7,21,,,
TRK00067,International,2015,2016-12-07,Active,757.6,45375.28,29,1312608.0,908,6.49367841409692
TRK00068,Peterbilt,2020,2021-07-31,Active,632.3,48803.94,26,1286649.0,899,6.47444938820912
TRK00069,Mack,2016,2021-05-13,Active,366.7,35126.99,18,1318110.0,935,6.51541176470588
TRK00070,Kenworth,2015,2017-11-13,Active,307.7,36142.32,15,1319519.0,943,6.51124072110286
TRK00071,Mack,2017,2018-10-14,Active,761.5,61696.55,31,1269268.0,911,6.50458836443469
TRK00072,Volvo,2017,2021-02-21,Active,700.6,50103.7,30,1284159.0,881,6.45409761634506
TRK00073,Mack,2016,2020-12-28,Active,996.3,76573.99,39,1338563.0,935,6.50310160427807
TRK00074,Volvo,2015,2015-02-08,Active,459.2,33044.85,16,1298052.0,881,6.51197502837684
TRK00075,Mack,2015,2015-05-05,Inactive,751.9,71073.64,30,,,
TRK00076,Kenworth,2015,2016-04-26,Active,388.9,30133.21,17,1280075.0,908,6.50668502202643
TRK00077,Kenworth,2015,2017-09-10,Maintenance,681.4,55767.83,26,,,
TRK00078,Freightliner,2015,2016-10-24,Active,839.6,48928.87,29,1296265.0,895,6.46702793296089
TRK00079,Mack,2015,2015-06-30,Active,572.4,39365.79,22,1195812.0,831,6.51498194945848
TRK00080,Volvo,2015,2015-10-15,Active,504.4,44894.62,21,1268474.0,895,6.51263687150838
TRK00081,Freightliner,2018,2021-07-17,Inactive,711.7,73892.72,32,,,
TRK00082,Peterbilt,2015,2016-12-16,Active,602.0,40181.67,25,1324616.0,924,6.49685064935065
TRK00083,Kenworth,2015,2015-08-05,Active,247.9,11896.28,10,1285053.0,902,6.51167405764967
TRK00084,Freightliner,2015,2019-11-22,Active,372.0,34743.79,17,1333901.0,927,6.4978640776699
TRK00085,Kenworth,2015,2018-05-26,Active,791.2,48812.66,30,1304076.0,924,6.48388528138528
TRK00086,Freightliner,2015,2015-03-21,Active,432.9,42953.68,20,1328872.0,927,6.48066882416397
TRK00087,Peterbilt,2015,2016-09-01,Maintenance,425.3,37807.28,20,,,
TRK00088,Peterbilt,2015,2016-05-19,Inactive,707.5,66959.88,26,,,
TRK00089,International,2019,2020-04-24,Active,611.4,33730.47,21,1286255.0,900,6.51905555555556
TRK00090,Volvo,2017,2021-04-23,Active,563.3,53850.82,27,1255174.0,881,6.48234960272418
TRK00091,International,2015,2016-12-13,Active,595.3,59491.03,26,1307376.0,901,6.51023307436182
TRK00092,Volvo,2015,2020-11-04,Active,433.6,41671.12,24,1324217.0,902,6.46288248337029
TRK00093,Peterbilt,2015,2018-02-25,Active,565.0,41656.12,25,1281778.0,902,6.5400332594235
TRK00094,Freightliner,2015,2021-01-21,Inactive,421.3,36539.82,16,,,
TRK00095,Mack,2015,2016-05-06,Active,439.6,50127.64,21,1281742.0,927,6.50801510248112
TRK00096,Kenworth,2018,2020-01-26,Active,515.1,40652.49,23,1221247.0,855,6.52304093567251
TRK00097,Peterbilt,2016,2021-07-25,Active,431.8,39758.74,17,1351692.0,920,6.48923913043478
TRK00098,Peterbilt,2018,2019-03-24,Active,460.3,41318.95,18,1307617.0,911,6.52908891328211
TRK00099,Freightliner,2015,2017-02-03,Active,743.7,73231.77,34,1291808.0,894,6.50592841163311
TRK00100,Mack,2015,2017-01-28,Inactive,613.2,47941.29,23,,,
TRK00101,Peterbilt,2015,2016-02-16,Active,404.4,32866.18,18,1241401.0,884,6.51765837104072
TRK00102,Peterbilt,2015,2016-02-21,Inactive,567.5,38928.81,23,,,
TRK00103,Freightliner,2015,2015-03-02,Active,747.2,54986.22,29,1249776.0,872,6.49441513761468
TRK00104,Peterbilt,2018,2020-03-22,Maintenance,539.6,44728.9,25,,,
TRK00105,Volvo,2015,2017-12-03,Active,805.8,43254.14,30,1300130.0,926,6.49830453563715
